row_type,model,display_name,threshold,metric,value,fpr,tpr,precision,recall,tn,fp,fn,tp,accuracy,f1,ms_per_frame
precision_recall_point,original,SIRCH original (epoch 4),0.0010530635481700301,pr_point_40,,,,0.5348837209302325,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0010929357958957553,pr_point_41,,,,0.53584229390681,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0010965879773721099,pr_point_42,,,,0.5368043087971275,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0011190983932465315,pr_point_43,,,,0.5377697841726619,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0011469983728602529,pr_point_44,,,,0.5387387387387388,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0011498327367007732,pr_point_45,,,,0.5397111913357401,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0012057292042300105,pr_point_46,,,,0.5406871609403255,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.001207683701068163,pr_point_47,,,,0.5416666666666666,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0012253462336957455,pr_point_48,,,,0.542649727767695,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.001233135350048542,pr_point_49,,,,0.5436363636363636,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.001257584197446704,pr_point_50,,,,0.5446265938069217,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0012690327130258083,pr_point_51,,,,0.5456204379562044,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0012718993239104748,pr_point_52,,,,0.546617915904936,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0012923490721732378,pr_point_53,,,,0.5476190476190477,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0013143483083695173,pr_point_54,,,,0.5486238532110091,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0013177356449887156,pr_point_55,,,,0.5496323529411765,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.00133104610722512,pr_point_56,,,,0.5506445672191529,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0013354027178138494,pr_point_57,,,,0.551660516605166,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0013487699907273054,pr_point_58,,,,0.5526802218114603,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0013863927451893687,pr_point_59,,,,0.5537037037037037,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0014168642228469253,pr_point_60,,,,0.5547309833024119,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0014391614822670817,pr_point_61,,,,0.5557620817843866,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0014451913302764297,pr_point_62,,,,0.5567970204841713,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0014793038135394454,pr_point_63,,,,0.5578358208955224,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.001531110261566937,pr_point_64,,,,0.5588785046728972,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0016101511428132653,pr_point_65,,,,0.5599250936329588,1.0,,,,,,,
